E;5274
D#;4978
D;4698,4
C#;4434,8
C;4186
B;3951
A#;3729,2
A;3440
G#;3332,4
G;3136
F#;2960
F;2793,8
E;2637
D#;2489
D;2349,2
C#;2217,4
C;2093
B;1975,5
A#;1864,6
A;1720
G#;1661,2
G;1568
F#;1480
F;1396,9
E;1318,5
D#;1244,5
D;1174,6
C#;1108,7
C;1046,5
B;987,75
A#;932,32
A;880
G#;830,6
G;784
F#;739,98
F;698,46
E;659,26
D#;622,26
D;587,32
C#;554,36
C;523,25
B;493,88
A#;466,16
A;440
G#;415,3
G;392
F#;369,99
F;349,23
E;329,63
D#;311,13
D;293,66
C#;277,18
C;261,63
B;246,96
A#;233,08
A;220
G#;207
G;196
F#;185
F;174,62
E;164,81
D#;155,56
D;147,83
C#;138,59
C;130,82
B;123,48
A#;116,54
A;110
G#;103,8
G;98
F#;92,5
F;87,31
E;82,41
D#;77,78
D;73,91
C#;69,3
C;65,41
B;61,74
A#;58,26
A;55
G#;51,9
G;49
F#;46,25
F;43,65
E;41,21
D#;38,88
D;36,95
C#;34,65
C;32,7
B;30,87
A#;29,13
A;27,5
G#;25,95
G;24,5
F#;23,12
F;21,82
E;20,61
